example_id,caption,wav,split,image_id,target
1000268201_693b08cb0e.jpg#0,A child in a pink dress is climbing up a set of stairs in an entry way .,1000268201_693b08cb0e_0.wav,train,1000268201_693b08cb0e.jpg,"['dress', 'pink', 'child']"
1001773457_577c3a7d70.jpg#0,A black dog and a spotted dog are fighting,1001773457_577c3a7d70_0.wav,train,1001773457_577c3a7d70.jpg,['dog']
1002674143_1b742ab4b8.jpg#0,A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .,1002674143_1b742ab4b8_0.wav,train,1002674143_1b742ab4b8.jpg,"['front', 'girl']"
1003163366_44323f5815.jpg#0,A man lays on a bench while his dog sits by him .,1003163366_44323f5815_0.wav,train,1003163366_44323f5815.jpg,"['man', 'bench', 'dog']"
1007129816_e794419615.jpg#0,A man in an orange hat starring at something .,1007129816_e794419615_0.wav,train,1007129816_e794419615.jpg,"['something', 'man', 'orange', 'hat']"
1007320043_627395c3d8.jpg#0,A child playing on a rope net .,1007320043_627395c3d8_0.wav,train,1007320043_627395c3d8.jpg,"['net', 'child']"
1009434119_febe49276a.jpg#0,A black and white dog is running in a grassy garden surrounded by a white fence .,1009434119_febe49276a_0.wav,train,1009434119_febe49276a.jpg,"['fence', 'dog']"
1012212859_01547e3f17.jpg#0,"A dog shakes its head near the shore , a red ball next to it .",1012212859_01547e3f17_0.wav,train,1012212859_01547e3f17.jpg,"['head', 'ball', 'dog']"
1015118661_980735411b.jpg#0,A boy smiles in front of a stony wall in a city .,1015118661_980735411b_0.wav,train,1015118661_980735411b.jpg,"['city', 'boy', 'front', 'wall']"
1015584366_dfcec3c85a.jpg#0,A black dog leaps over a log .,1015584366_dfcec3c85a_0.wav,train,1015584366_dfcec3c85a.jpg,['dog']
101654506_8eb26cfb60.jpg#0,A brown and white dog is running through the snow .,101654506_8eb26cfb60_0.wav,train,101654506_8eb26cfb60.jpg,"['snow', 'brown', 'dog']"
101669240_b2d3e7f17b.jpg#0,A man in a hat is displaying pictures next to a skier in a blue hat .,101669240_b2d3e7f17b_0.wav,train,101669240_b2d3e7f17b.jpg,"['man', 'blue', 'hat']"
1016887272_03199f49c4.jpg#0,A collage of one person climbing a cliff .,1016887272_03199f49c4_0.wav,train,1016887272_03199f49c4.jpg,"['cliff', 'person']"
1019077836_6fc9b15408.jpg#0,A brown dog chases the water from a sprinkler on a lawn .,1019077836_6fc9b15408_0.wav,train,1019077836_6fc9b15408.jpg,"['water', 'dog']"
1019604187_d087bf9a5f.jpg#0,A dog prepares to catch a thrown object in a field with nearby cars .,1019604187_d087bf9a5f_0.wav,train,1019604187_d087bf9a5f.jpg,"['dog', 'field']"
1020651753_06077ec457.jpg#0,a black and white dog jumping in the air to get a toy .,1020651753_06077ec457_0.wav,train,1020651753_06077ec457.jpg,"['air', 'jumping', 'dog', 'toy']"
1022454428_b6b660a67b.jpg#0,"A couple and an infant , being held by the male , sitting next to a pond with a near by stroller .",1022454428_b6b660a67b_0.wav,train,1022454428_b6b660a67b.jpg,['couple']
1022975728_75515238d8.jpg#0,A black dog running in the surf .,1022975728_75515238d8_0.wav,train,1022975728_75515238d8.jpg,['dog']
102351840_323e3de834.jpg#0,A man drilling a hole in the ice .,102351840_323e3de834_0.wav,train,102351840_323e3de834.jpg,['man']
1024138940_f1fefbdce1.jpg#0,Two different breeds of brown and white dogs play on the beach .,1024138940_f1fefbdce1_0.wav,train,1024138940_f1fefbdce1.jpg,"['brown', 'beach']"
102455176_5f8ead62d5.jpg#0,A man uses ice picks and crampons to scale ice .,102455176_5f8ead62d5_0.wav,train,102455176_5f8ead62d5.jpg,['man']
1026685415_0431cbf574.jpg#0,A black dog carries a green toy in his mouth as he walks through the grass .,1026685415_0431cbf574_0.wav,train,1026685415_0431cbf574.jpg,"['grass', 'mouth', 'dog', 'toy']"
1028205764_7e8df9a2ea.jpg#0,A man and a baby are in a yellow kayak on water .,1028205764_7e8df9a2ea_0.wav,train,1028205764_7e8df9a2ea.jpg,"['water', 'man', 'baby']"
1030985833_b0902ea560.jpg#0,A black dog and a brown dog are jumping up to catch a red toy .,1030985833_b0902ea560_0.wav,train,1030985833_b0902ea560.jpg,"['dog', 'toy']"
103195344_5d2dc613a3.jpg#0,A man in black is sitting next to a modern art structure in front of a glass building .,103195344_5d2dc613a3_0.wav,train,103195344_5d2dc613a3.jpg,"['front', 'structure', 'man']"
103205630_682ca7285b.jpg#1,Two men are about to enter an ice fishing tent on a snow covered lake .,103205630_682ca7285b_1.wav,train,103205630_682ca7285b.jpg,"['snow', 'lake']"
1032460886_4a598ed535.jpg#0,a man is standing in front of a skyscraper,1032460886_4a598ed535_0.wav,train,1032460886_4a598ed535.jpg,"['man', 'front']"
104136873_5b5d41be75.jpg#0,People sit on the mountainside and check out the view .,104136873_5b5d41be75_0.wav,train,104136873_5b5d41be75.jpg,['view']
1042020065_fb3d3ba5ba.jpg#0,A boy in a green shirt is looking down at many inflatable boats .,1042020065_fb3d3ba5ba_0.wav,train,1042020065_fb3d3ba5ba.jpg,"['shirt', 'boy']"
1042590306_95dea0916c.jpg#0,A man and woman pose for the camera while another man looks on .,1042590306_95dea0916c_0.wav,train,1042590306_95dea0916c.jpg,"['woman', 'man', 'camera']"
1048710776_bb5b0a5c7c.jpg#0,a couple of several people sitting on a ledge overlooking the beach,1048710776_bb5b0a5c7c_0.wav,train,1048710776_bb5b0a5c7c.jpg,"['couple', 'beach']"
1052358063_eae6744153.jpg#0,A boy takes a jump on his skateboard while another boy with a skateboard watches .,1052358063_eae6744153_0.wav,train,1052358063_eae6744153.jpg,"['skateboard', 'boy']"
105342180_4d4a40b47f.jpg#0,"A girl paddling down a large river , as seen from behind her .",105342180_4d4a40b47f_0.wav,train,105342180_4d4a40b47f.jpg,"['river', 'girl']"
1053804096_ad278b25f1.jpg#0,A girl in pigtails splashes in the shallow water .,1053804096_ad278b25f1_0.wav,train,1053804096_ad278b25f1.jpg,"['water', 'girl']"
1055623002_8195a43714.jpg#0,A group of four children wearing pajamas have a pillow fight .,1055623002_8195a43714_0.wav,train,1055623002_8195a43714.jpg,"['pajamas', 'fight', 'group']"
1055753357_4fa3d8d693.jpg#1,Two construction workers are sitting up on the side of a building .,1055753357_4fa3d8d693_1.wav,train,1055753357_4fa3d8d693.jpg,"['side', 'construction']"
1056359656_662cee0814.jpg#0,A little girl looking at a brochure on train rides,1056359656_662cee0814_0.wav,train,1056359656_662cee0814.jpg,"['girl', 'train']"
1056873310_49c665eb22.jpg#0,A brown dog is running after a black dog on a rocky shore .,1056873310_49c665eb22_0.wav,train,1056873310_49c665eb22.jpg,['dog']
1057089366_ca83da0877.jpg#1,A child jumps off a high diving board into the pool .,1057089366_ca83da0877_1.wav,train,1057089366_ca83da0877.jpg,"['pool', 'child']"
1057210460_09c6f4c6c1.jpg#0,A guy stands by a window taking his overshirt off .,1057210460_09c6f4c6c1_0.wav,train,1057210460_09c6f4c6c1.jpg,"['window', 'guy']"
1057251835_6ded4ada9c.jpg#0,A light-colored dog runs on the beach .,1057251835_6ded4ada9c_0.wav,train,1057251835_6ded4ada9c.jpg,"['dog', 'beach']"
106514190_bae200f463.jpg#0,A hiker standing high on a bluff overlooking the mountains below .,106514190_bae200f463_0.wav,train,106514190_bae200f463.jpg,"['bluff', 'hiker']"
1067180831_a59dc64344.jpg#0,A black and white dog is attempting to catch a yellow and purple object in a low cut yard .,1067180831_a59dc64344_0.wav,train,1067180831_a59dc64344.jpg,['dog']
1067675215_7336a694d6.jpg#0,A man in blue shorts is laying in the street .,1067675215_7336a694d6_0.wav,train,1067675215_7336a694d6.jpg,"['man', 'street']"
1067790824_f3cc97239b.jpg#0,A white and black dog and a brown dog in sandy terrain .,1067790824_f3cc97239b_0.wav,train,1067790824_f3cc97239b.jpg,['dog']
1072153132_53d2bb1b60.jpg#0,A black and white dog catches a toy in midair .,1072153132_53d2bb1b60_0.wav,train,1072153132_53d2bb1b60.jpg,"['midair', 'dog', 'toy']"
107318069_e9f2ef32de.jpg#0,A crowd watching air balloons at night .,107318069_e9f2ef32de_0.wav,train,107318069_e9f2ef32de.jpg,"['night', 'air', 'crowd']"
1075716537_62105738b4.jpg#0,A child with a helmet on his head rides a bike .,1075716537_62105738b4_0.wav,train,1075716537_62105738b4.jpg,"['helmet', 'head', 'bike', 'child']"
